License Plate,Entry Time
"NH12DE1433
",1707153305.7371037
"HH12DE1433
",1707153391.1101725
"WH12DE1433
",1707153391.3012156
"MH12DE1433
",1707153392.033379
4H12DE 1433)
,1707155007.8801715
MH12DE 1432.
,1707155008.4583006
HH12DE1433
,1707155008.7393634
WH12DE1433
,1707155011.5863595
